step,reward,format_reward,action_reward,loss,completion_len
2,1.205,0.938,0.267,0.2676,116
3,1.275,1.000,0.275,0.0656,117
4,0.959,0.750,0.209,0.1052,246
5,1.395,0.938,0.458,0.1604,132
6,1.170,0.875,0.295,0.1807,229
7,1.295,0.938,0.357,0.1055,166
8,1.324,1.000,0.324,0.1186,155
9,1.378,0.938,0.440,0.1444,141
10,1.401,1.000,0.401,0.0570,153
11,1.569,1.000,0.569,0.0034,94
12,1.551,1.000,0.551,-0.0132,75
13,1.665,1.000,0.665,0.0054,83
14,1.399,0.938,0.461,-0.0183,90
15,1.604,1.000,0.604,0.1811,79
16,1.479,1.000,0.479,-0.0214,106
17,1.665,1.000,0.665,0.0042,75
18,1.512,0.938,0.575,0.2067,107
19,1.499,1.000,0.499,0.0165,74
20,1.441,1.000,0.441,0.0128,93
21,1.568,1.000,0.568,0.0493,83
22,1.612,1.000,0.612,-0.0620,80
23,1.600,1.000,0.600,0.0240,84
24,1.694,1.000,0.694,0.0809,74
25,1.516,1.000,0.516,-0.0036,101
26,1.621,1.000,0.621,0.0056,82
27,1.513,1.000,0.513,0.0090,76
28,1.590,1.000,0.590,0.0036,81
29,1.665,1.000,0.665,0.0299,63
30,1.543,1.000,0.543,0.0937,90
31,1.491,1.000,0.491,0.0673,86
32,1.700,1.000,0.700,0.0000,70
33,1.591,1.000,0.591,-0.0304,61
34,1.700,1.000,0.700,0.0000,76
35,1.420,1.000,0.420,0.0000,53
36,1.606,1.000,0.606,0.0376,66
37,1.519,1.000,0.519,0.0452,72
38,1.534,1.000,0.534,-0.0173,68
39,1.560,1.000,0.560,0.0000,73
40,1.656,1.000,0.656,0.0093,54
41,1.665,1.000,0.665,0.2322,62
42,1.560,1.000,0.560,0.0000,57
43,1.635,1.000,0.635,0.0000,56
44,1.490,1.000,0.490,0.0000,72
45,1.598,1.000,0.598,-0.0009,58
46,1.586,1.000,0.586,-0.0189,62
47,1.728,1.000,0.728,0.0000,52
48,1.585,1.000,0.585,0.0002,82
49,1.560,1.000,0.560,0.0000,66
50,1.626,1.000,0.626,-0.0189,79
51,1.524,0.938,0.586,-0.0043,55
52,1.700,1.000,0.700,0.0000,55
53,1.513,1.000,0.513,0.0000,54
54,1.647,1.000,0.647,0.0319,80
55,1.605,1.000,0.605,-0.0125,80
56,1.560,1.000,0.560,0.0000,75
57,1.543,1.000,0.543,-0.0055,64
58,1.683,1.000,0.683,0.0171,61
59,1.586,1.000,0.586,0.0067,49
60,1.656,1.000,0.656,-0.0609,50
61,1.536,1.000,0.535,-0.0017,66
62,1.577,1.000,0.577,0.0079,48
63,1.665,1.000,0.665,-0.0101,71
64,1.577,1.000,0.577,-0.0222,56
65,1.577,1.000,0.577,-0.0027,50
66,1.688,1.000,0.688,-0.0706,71
67,1.560,1.000,0.560,0.0000,58
68,1.621,1.000,0.621,-0.0019,70
69,1.683,1.000,0.683,0.0012,49
70,1.612,1.000,0.613,0.0035,69
71,1.684,1.000,0.684,-0.0057,72
72,1.672,1.000,0.672,0.0086,75
73,1.737,1.000,0.737,0.0000,67
74,1.636,1.000,0.636,-0.0729,74
75,1.656,1.000,0.656,0.0164,52
76,1.648,1.000,0.648,-0.0375,72
77,1.438,1.000,0.438,0.0113,64
78,1.700,1.000,0.700,0.0000,50
79,1.700,1.000,0.700,0.0000,56
80,1.424,0.875,0.549,0.1017,146
81,1.616,1.000,0.616,0.0000,71
82,1.575,1.000,0.575,-0.0353,88
83,1.700,1.000,0.700,0.0000,67
84,1.648,1.000,0.647,0.0090,70
85,1.700,1.000,0.700,0.0000,68
86,1.700,1.000,0.700,0.0000,67
87,1.700,1.000,0.700,0.0000,69
88,1.572,1.000,0.572,0.0211,57
89,1.621,1.000,0.621,0.0167,77
90,1.534,1.000,0.534,0.1135,82
91,1.519,1.000,0.519,-0.0358,81
92,1.493,1.000,0.493,-0.0332,84
93,1.691,1.000,0.691,0.0466,56
94,1.667,1.000,0.667,0.0110,80
95,1.612,1.000,0.613,0.0035,72
96,1.700,1.000,0.700,0.0000,50
97,1.700,1.000,0.700,0.0000,50
98,1.687,1.000,0.687,0.0045,90
99,1.700,1.000,0.700,0.0000,53
100,1.644,1.000,0.644,0.0000,63
